code,stop_name,street_name,lat,lng,route
SL78,SL78 KG BARU SG TUA (TIMUR),JLN NAKHODA KIRI,3.253920112,101.6798799,173
SL67,SL67 WISMA YATI AHMAD,JLN SG TUA,3.249807,101.675391,173
SL481,SL481 BALAI MUKIM BATU (OPP),JLN SG TUA,3.247876,101.674629,173
SL83,SL83 KOMPLEKS SRI SIANTAN (OPP),JLN SG TUA,3.246364774,101.6743823,173;MPS1
SL482,SL482 SMK TAMAN SELAYANG (OPP),JLN SG TUA,3.243329479,101.6740608,173;MPS1
SL84,SL84 SMK SERI SELAYANG (OPP),JLN SG TUA,3.241904623,101.6736049,173;MPS1
SL86,SL86 PETRONAS DATARAN SELAYANG,JLN SG TUA,3.238351,101.673264,173;MPS1
SL88,SL88 KOMPLEKS AMANIAH,JLN BT CAVES,3.235404,101.675139,173;MPS1
SL89,SL89 PADANG AWAM BATU CAVES,JLN BT CAVES,3.235693,101.677353,173;MPS1
SL485,SL485 PLAZA UMNO BATU CAVES,JLN BATU CAVES,3.236009,101.679157,173;MPS1
SL486,SL486 NISSAN (OPP),JLN PERUSAHAAN 1,3.233950307,101.6828217,173
SL487,SL487 AMARI BUSINESS PARK,JLN PERUSAHAAN 1,3.231708696,101.6826638,173
SL488,SL488 KJCF,JLN PERUSAHAAN 1,3.229261692,101.6824559,173
KL630,KL630 HENTIAN BATU MUDA,JLN TAMAN BT MUDA,3.227977675,101.6835113,173
KL621,KL621 MASJID SAIDINA HAMZAH,JLN 6/12C,3.217681304,101.6885405,173
KL2244,KL2244 PADANG BOLA BATU MUDA,PERS 1/12,3.215874,101.687073,173
KL2246,KL2246 PERUMAHAN TENTERA AMPAT TIN (OPP),JLN 1/12B,3.214984,101.684749,173
KL2276,KL2276 SK BATU MUDA,JLN AMPAT TIN,3.213314,101.684033,173
KL591,KL591 PPR BATU MUDA BLOK A,JLN AMPAT TIN,3.208154,101.680684,173
KL592,KL592 PPR BATU MUDA BLOK G,JLN AMPAT TIN,3.206943,101.679831,173
KL607,KL607 SENTUL WEST,JLN SULTAN AZLAN SHAH,3.178841,101.686031,173;190;191
